172	11										
Time	C2H2	H2	H	O2	OH	H2O	CO	A4	T	P	Alpha
0	1.38E-08	6.95E-07	3.52E-15	6.62E-06	6.76E-16	6.39E-07	0	1.19E-17	298	1	0.999990009
0.000259079	1.41E-08	6.90E-07	3.47E-15	6.35E-06	6.71E-16	6.42E-07	0	1.38E-17	308.9	1	0.999989321
0.000509139	1.43E-08	6.84E-07	2.13E-15	6.10E-06	5.64E-16	6.46E-07	0	1.60E-17	319.8	1	0.999988585
0.0009838	1.49E-08	6.75E-07	8.31E-16	5.65E-06	3.85E-16	6.52E-07	0	2.13E-17	341.6	1	0.999986959
0.001428385	1.54E-08	6.67E-07	3.59E-16	5.26E-06	3.33E-16	6.58E-07	0	2.81E-17	363.4	1	0.9999851
0.001846292	1.60E-08	6.59E-07	1.71E-16	4.90E-06	3.54E-16	6.64E-07	0	3.66E-17	385.2	1	0.999982977
0.002613338	1.71E-08	6.46E-07	5.52E-17	4.30E-06	5.17E-16	6.76E-07	0	5.93E-17	428.8	1	0.999977778
0.003303962	1.82E-08	6.35E-07	3.66E-17	3.80E-06	8.61E-16	6.87E-07	0	9.35E-17	472.4	1	0.999970993
0.003931511	1.94E-08	6.25E-07	5.81E-17	3.38E-06	1.51E-15	6.99E-07	0	1.43E-16	516	1	0.999962136
0.004506214	2.06E-08	6.17E-07	1.39E-16	3.03E-06	2.74E-15	7.10E-07	0	2.13E-16	559.7	1	0.999950544
0.005036235	2.19E-08	6.10E-07	3.79E-16	2.72E-06	5.20E-15	7.21E-07	0	3.09E-16	603.3	1	0.999937694
0.00552757	2.31E-08	6.04E-07	1.11E-15	2.44E-06	1.03E-14	7.33E-07	0	4.40E-16	646.9	1	0.999918592
0.005985315	2.45E-08	5.99E-07	3.49E-15	2.20E-06	2.15E-14	7.44E-07	0	6.13E-16	690.5	1	0.999893636
0.006413556	2.58E-08	5.94E-07	1.15E-14	1.99E-06	4.67E-14	7.56E-07	0	8.40E-16	734.1	1	0.999856414
0.006815729	2.72E-08	5.90E-07	3.89E-14	1.79E-06	1.05E-13	7.68E-07	0	1.13E-15	777.7	1	0.999812573
0.007194657	2.87E-08	5.86E-07	1.31E-13	1.61E-06	2.44E-13	7.80E-07	0	1.51E-15	821.3	1	0.999762764
0.007552678	3.02E-08	5.83E-07	4.28E-13	1.44E-06	5.86E-13	7.93E-07	0	1.99E-15	864.9	1	0.999690043
0.007724504	3.10E-08	5.82E-07	7.99E-13	1.36E-06	9.43E-13	7.99E-07	0	2.27E-15	886.7	1	0.99963515
0.0078918	3.17E-08	5.80E-07	1.46E-12	1.29E-06	1.52E-12	8.05E-07	0	2.59E-15	908.5	1	0.999595035
0.008054899	3.25E-08	5.79E-07	2.66E-12	1.22E-06	2.45E-12	8.11E-07	0	2.95E-15	930.3	1	0.999523768
0.008213959	3.33E-08	5.78E-07	4.79E-12	1.15E-06	3.96E-12	8.17E-07	0	3.35E-15	952.1	1	0.999470912
0.008369137	3.42E-08	5.77E-07	8.59E-12	1.08E-06	6.43E-12	8.24E-07	0	3.80E-15	973.9	1	0.999395244
0.00852058	3.50E-08	5.75E-07	1.54E-11	1.01E-06	1.04E-11	8.30E-07	0	4.29E-15	995.8	1	0.999308334
0.008539293	3.51E-08	5.76E-07	1.67E-11	1.01E-06	1.11E-11	8.31E-07	0	4.36E-15	997.9	1	0.99929937
0.008557962	3.52E-08	5.76E-07	1.82E-11	1.00E-06	1.18E-11	8.32E-07	0	4.43E-15	1000	1	0.999290291
0.008595119	3.55E-08	5.76E-07	2.10E-11	9.85E-07	1.33E-11	8.35E-07	0	4.57E-15	1004	1	0.999292036
0.008668959	3.60E-08	5.76E-07	2.71E-11	9.56E-07	1.66E-11	8.40E-07	0	4.86E-15	1013	1	0.999231409
0.008742113	3.65E-08	5.76E-07	3.43E-11	9.27E-07	2.04E-11	8.45E-07	0	5.18E-15	1021	1	0.999213973
0.008814593	3.71E-08	5.76E-07	4.29E-11	8.98E-07	2.49E-11	8.50E-07	0	5.51E-15	1030	1	0.99916922
0.008886396	3.76E-08	5.76E-07	5.32E-11	8.70E-07	3.01E-11	8.55E-07	0	5.86E-15	1039	1	0.99912192
0.008957535	3.81E-08	5.77E-07	6.54E-11	8.43E-07	3.60E-11	8.60E-07	0	6.23E-15	1047	1	0.999101474
0.009028036	3.87E-08	5.77E-07	7.96E-11	8.15E-07	4.26E-11	8.64E-07	0	6.62E-15	1056	1	0.999074656
0.009097912	3.93E-08	5.78E-07	9.59E-11	7.88E-07	4.97E-11	8.69E-07	0	7.03E-15	1064	1	0.99900204
0.009172065	3.99E-08	5.78E-07	1.16E-10	7.60E-07	5.79E-11	8.75E-07	0	7.51E-15	1073	1	0.99897187
